127.0.0.1 - - [13/May/2025:12:34:56 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:48 +0900] "GET /board/list?pageNum=1&amount=10&keyword=&type= HTTP/1.1" 200 32269
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:48 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:48 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:48 +0900] "GET /board/get?pageNum=1&amount=10&keyword=&type=&bno=1703958 HTTP/1.1" 200 23184
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:48 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:48 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:50 +0900] "GET /board/list?pageNum=1&amount=10&keyword=&type= HTTP/1.1" 200 32269
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:50 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:30:50 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:31:04 +0900] "GET /board/list?pageNum=1&amount=10&keyword=&type= HTTP/1.1" 200 32269
0:0:0:0:0:0:0:1 - - [13/May/2025:14:31:04 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:31:04 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:31:06 +0900] "GET /board/get?pageNum=1&amount=10&keyword=&type=&bno=1703960 HTTP/1.1" 200 23234
0:0:0:0:0:0:0:1 - - [13/May/2025:14:31:06 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [13/May/2025:14:31:06 +0900] "GET /resources/js/reply.js HTTP/1.1" 304 -
